journal,priority_zaki,priority_anoop,papers,publisher,
Journal_of_Alloys_and_Compounds,1,,66829,elsevier,
Science_of_The_Total_Environment,1,,59490,elsevier,
Applied_Surface_Science,1,,51627,elsevier,
Chemical_Engineering_Journal,1,,42530,elsevier,
Environmental_Science_and_Pollution_Research,2,,40584,springer,
International_Journal_of_Hydrogen_Energy,1,,39913,elsevier,
Journal_of_Biological_Chemistry,2,,39370,elsevier,
Ceramics_International,1,,37643,elsevier,
Journal_of_Cleaner_Production,1,,37118,elsevier,
Chemosphere,1,,36689,elsevier,
Electrochimica_Acta,1,,34396,elsevier,
Food_Chemistry,2,,33565,elsevier,
"Nuclear_Instruments_and_Methods_in_Physics_Research_Section_A:_Accelerators,_Spectrometers,_Detectors_and_Associated_Equipment",1,,32843,elsevier,
Materials_Science_and_Engineering:_A,1,,32692,elsevier,
Materials_Letters,1,,32352,elsevier,
Construction_and_Building_Materials,1,,32032,elsevier,
Materials_Today:_Proceedings,1,,29214,elsevier,
Chemical_Physics_Letters,1,,29134,elsevier,
Journal_of_Power_Sources,1,,29025,elsevier,
Journal_of_Magnetism_and_Magnetic_Materials,1,,28963,elsevier,
Sensors_and_Actuators_B:_Chemical,1,,28918,elsevier,
Thin_Solid_Films,1,,28717,elsevier,
Journal_of_Hazardous_Materials,1,,28079,elsevier,
Energy,1,,27850,elsevier,
Fuel,1,,27139,elsevier,
Journal_of_Chromatography_A,2,,27108,elsevier,
Physica_B:_Condensed_Matter,1,,25837,elsevier,
Physics_Letters_B,1,,25275,elsevier,
Journal_of_Molecular_Structure,1,,25108,elsevier,
Journal_of_Colloid_and_Interface_Science,1,,23735,elsevier,
Optics_Communications,1,,22853,elsevier,
Surface_and_Coatings_Technology,1,,22848,elsevier,
Journal_of_Materials_Science:_Materials_in_Electronics,1,,22554,springer,
Colloids_and_Surfaces_A:_Physicochemical_and_Engineering_Aspects,1,,22445,elsevier,
Polymer,1,,22402,elsevier,
International_Journal_of_Heat_and_Mass_Transfer,2,,21697,elsevier,
Journal_of_Crystal_Growth,1,,21330,elsevier,
Physica_A:_Statistical_Mechanics_and_its_Applications,2,,21267,elsevier,
Applied_Mathematics_and_Computation,2,,20809,elsevier,
Nuclear_Instruments_and_Methods_in_Physics_Research_Section_B:_Beam_Interactions_with_Materials_and_Atoms,1,,20658,elsevier,
Environmental_Pollution,2,,20507,elsevier,
Journal_of_Molecular_Liquids,1,,20506,elsevier,
Applied_Thermal_Engineering,1,,20484,elsevier,
Spectrochimica_Acta_Part_A:_Molecular_and_Biomolecular_Spectroscopy,2,,20393,elsevier,
Applied_Energy,1,,19899,elsevier,
Materials_Chemistry_and_Physics,1,,19552,elsevier,
Optik,1,,19392,elsevier,
Journal_of_Materials_Science,1,,19030,springer,
Physics_Letters_A,1,,18975,elsevier,
Carbohydrate_Polymers,2,,18858,elsevier,
Renewable_Energy,1,,18200,elsevier,
International_Journal_of_Pharmaceutics,2,,17666,elsevier,
Journal_of_Membrane_Science,1,,17334,elsevier,
Carbon,1,,16998,elsevier,
Separation_and_Purification_Technology,1,,16810,elsevier,
Journal_of_Non-Crystalline_Solids,1,,16423,elsevier,
Journal_of_Nuclear_Materials,1,,15976,elsevier,
Acta_Materialia,1,,15938,elsevier,
Energy_Conversion_and_Management,3,,15906,elsevier,
Chemical_Engineering_Science,1,,15894,elsevier,
Biomaterials,2,,15810,elsevier,
Analytical_and_Bioanalytical_Chemistry,2,,15265,springer,
Composite_Structures,1,,15227,elsevier,
Engineering_Structures,2,,15124,elsevier,
Applied_Catalysis_B:_Environmental,1,,14239,elsevier,
Inorganica_Chimica_Acta,1,,14106,elsevier,
Powder_Technology,1,,14027,elsevier,
Journal_of_Materials_Processing_Technology,1,,13829,elsevier,
Journal_of_the_European_Ceramic_Society,1,,13602,elsevier,
Journal_of_Luminescence,1,,13566,elsevier,
Journal_of_Electroanalytical_Chemistry,1,,13529,elsevier,
Journal_of_Organometallic_Chemistry,1,,13505,elsevier,
Surface_Science,1,,13454,elsevier,
Scripta_Materialia,1,,13303,elsevier,
Renewable_and_Sustainable_Energy_Reviews,1,,13039,elsevier,
Optical_Materials,1,,12872,elsevier,
European_Journal_of_Medicinal_Chemistry,2,,12842,elsevier,
Fusion_Engineering_and_Design,1,,12691,elsevier,
Measurement,2,,12606,elsevier,
Catalysis_Today,1,,12557,elsevier,
Energy_Policy,2,,12480,elsevier,
Environmental_Research,2,,12312,elsevier,
Applied_Catalysis_A:_General,1,,12139,elsevier,
Sensors_and_Actuators_A:_Physical,1,,12043,elsevier,
Microporous_and_Mesoporous_Materials,1,,11782,elsevier,
Materials_Science_and_Engineering:_C,1,,11757,elsevier,
Colloids_and_Surfaces_B:_Biointerfaces,2,,11678,elsevier,
Food_Research_International,3,,11663,elsevier,
Geochimica_et_Cosmochimica_Acta,1,,11626,elsevier,
Journal_of_Sound_and_Vibration,2,,11549,elsevier,
Energy_and_Buildings,2,,11534,elsevier,
Journal_of_Environmental_Chemical_Engineering,1,,11436,elsevier,
Journal_of_Computational_and_Applied_Mathematics,2,,11351,elsevier,
Solar_Energy,1,,11311,elsevier,
Journal_of_Computational_Physics,1,,11226,elsevier,
Computational_Materials_Science,1,,11154,elsevier,
Journal_of_Chromatography_B,1,,11142,elsevier,
Food_and_Chemical_Toxicology,3,,11056,elsevier,
Inorganic_Chemistry_Communications,1,,10949,elsevier,
Materials_Research_Bulletin,1,,10935,elsevier,
Physica_E:_Low-dimensional_Systems_and_Nanostructures,1,,10842,elsevier,
Journal_of_Solid_State_Chemistry,1,,10841,elsevier,
Advances_in_Space_Research,1,,10756,elsevier,
Vacuum,1,,10608,elsevier,
European_Polymer_Journal,1,,10495,elsevier,
Solid_State_Communications,1,,10382,elsevier,
Corrosion_Science,1,,10215,elsevier,
Solar_Energy_Materials_and_Solar_Cells,1,,10099,elsevier,
Journal_of_Biomechanics,2,,10085,elsevier,
Dyes_and_Pigments,2,,9957,elsevier,
Journal_of_Materials_Engineering_and_Performance,1,,9918,springer,
Composites_Part_B:_Engineering,1,,9898,elsevier,
Journal_of_Petroleum_Science_and_Engineering,1,,9848,elsevier,
Materials_Science_and_Engineering:_B,1,,9805,elsevier,
Journal_of_Physics_and_Chemistry_of_Solids,1,,9797,elsevier,
Building_and_Environment,3,,9737,elsevier,
Applied_Soft_Computing,3,,9618,elsevier,
Journal_of_Thermal_Analysis_and_Calorimetry,2,,9571,springer,
Solid_State_Ionics,1,,9548,elsevier,
Nuclear_Engineering_and_Design,1,,9500,elsevier,
International_Journal_of_Solids_and_Structures,2,,9465,elsevier,
Computer_Methods_in_Applied_Mechanics_and_Engineering,2,,9326,elsevier,
Wear,1,,9307,elsevier,
Radiation_Physics_and_Chemistry,1,,9276,elsevier,
Journal_of_Radioanalytical_and_Nuclear_Chemistry,1,,9197,springer,
Applied_Radiation_and_Isotopes,1,,9179,elsevier,
Journal_of_Photochemistry_and_Photobiology_A:_Chemistry,2,,9158,elsevier,
Applied_Mathematical_Modelling,2,,9129,elsevier,
Microchemical_Journal,2,,9092,elsevier,
The_International_Journal_of_Advanced_Manufacturing_Technology,1,,8986,springer,
Diamond_and_Related_Materials,1,,8980,elsevier,
Chinese_Chemical_Letters,1,,8916,elsevier,
Journal_of_Energy_Storage,1,,8882,elsevier,
Annals_of_Nuclear_Energy,1,,8858,elsevier,
Forensic_Science_International,2,,8843,elsevier,
Journal_of_Food_Engineering,3,,8791,elsevier,
Acta_Biomaterialia,2,,8785,elsevier,
Nonlinear_Dynamics,2,,8718,springer,
Nuclear_Physics_B,1,,8682,elsevier,
Food_Hydrocolloids,3,,8671,elsevier,
Mechanical_Systems_and_Signal_Processing,2,,8494,elsevier,
Fluid_Phase_Equilibria,2,,8459,elsevier,
Composites_Science_and_Technology,1,,8435,elsevier,
Chemical_Physics,1,,8401,elsevier,
Nano_Energy,1,,8401,elsevier,
Neuropharmacology,2,,8287,elsevier,
Acta_Astronautica,1,,8265,elsevier,
Waste_Management,2,,8233,elsevier,
Metallurgical_and_Materials_Transactions_A,1,,8198,springer,
Tribology_International,1,,8139,elsevier,
Remote_Sensing_of_Environment,2,,8100,elsevier,
Thermochimica_Acta,1,,8085,elsevier,
Phytochemistry,1,,8038,elsevier,
Journal_of_Building_Engineering,2,,8012,elsevier,
Synthetic_Metals,1,,7963,elsevier,
International_Journal_of_Food_Microbiology,3,,7807,elsevier,
Materials_Characterization,1,,7763,elsevier,
Engineering_Fracture_Mechanics,2,,7748,elsevier,
Chemical_Geology,1,,7736,elsevier,
Journal_of_Molecular_Catalysis_A:_Chemical,1,,7720,elsevier,
Soil_Biology_and_Biochemistry,2,,7656,elsevier,
Materials_Today_Communications,1,,7577,elsevier,
Combustion_and_Flame,1,,7515,elsevier,
Toxicology_Letters,2,,7424,elsevier,
Journal_of_Catalysis,1,,7418,elsevier,
Physica_C:_Superconductivity,1,,7289,elsevier,
International_Journal_of_Mechanical_Sciences,2,,7256,elsevier,
Materials_Science_in_Semiconductor_Processing,1,,7214,elsevier,
Polymer_Degradation_and_Stability,1,,7177,elsevier,
Thin-Walled_Structures,2,,7161,elsevier,
Electrochemistry_Communications,1,,7139,elsevier,
Journal_of_Quantitative_Spectroscopy_and_Radiative_Transfer,1,,7058,elsevier,
Engineering_Failure_Analysis,2,,7057,elsevier,
Journal_of_Industrial_and_Engineering_Chemistry,1,,7050,elsevier,
International_Journal_of_Fatigue,2,,7014,elsevier,
Desalination,2,,6959,elsevier,
Composites_Part_A:_Applied_Science_and_Manufacturing,2,,6893,elsevier,
Communications_in_Nonlinear_Science_and_Numerical_Simulation,2,,6791,elsevier,
Solid-State_Electronics,1,,6693,elsevier,
Applied_Biochemistry_and_Biotechnology,2,,6666,springer,
Progress_in_Organic_Coatings,2,,6645,elsevier,
Journal_of_Nanoparticle_Research,1,,6613,springer,
Journal_of_Molecular_Structure:_THEOCHEM,1,,6575,elsevier,
Psychopharmacology,3,,6566,springer,
Organic_Electronics,2,,6556,elsevier,
Catalysis_Communications,1,,6542,elsevier,
Cellulose,3,,6497,springer,
Peptides,3,,6364,elsevier,
Fuel_Processing_Technology,2,,6300,elsevier,
Archives_of_Biochemistry_and_Biophysics,2,,6252,elsevier,
Toxicology_and_Applied_Pharmacology,2,,6211,elsevier,
Microchimica_Acta,1,,6059,springer,
Toxicon,2,,6052,elsevier,
Journal_of_Constructional_Steel_Research,2,,6042,elsevier,
Applied_Clay_Science,2,,6030,elsevier,
Toxicology,2,,5991,elsevier,
Biological_Trace_Element_Research,2,,5982,springer,
Chemico-Biological_Interactions,2,,5946,elsevier,
Drug_Discovery_Today,2,,5919,elsevier,
Nutrition,3,,5873,elsevier,
Archives_of_Virology,2,,5849,springer,
Aerospace_Science_and_Technology,1,,5847,elsevier,
Ultrasonics_Sonochemistry,1,,5808,elsevier,
Journal_of_Solid_State_Electrochemistry,1,,5806,springer,
Current_Applied_Physics,1,,5792,elsevier,
Applied_Mathematics_Letters,2,,5789,elsevier,
Atmospheric_Research,2,,5781,elsevier,
Minerals_Engineering,1,,5759,elsevier,
Cement_and_Concrete_Research,1,,5754,elsevier,
Journal_of_Molecular_Modeling,1,,5750,springer,
Journal_of_Food_Science_and_Technology,3,,5732,springer,
Superlattices_and_Microstructures,1,,5723,elsevier,
Marine_and_Petroleum_Geology,1,,5673,elsevier,
The_Journal_of_Chemical_Thermodynamics,1,,5668,elsevier,
Journal_of_the_Mechanical_Behavior_of_Biomedical_Materials,2,,5631,elsevier,
Microsystem_Technologies,2,,5628,springer,
Chemical_Engineering_Research_and_Design,2,,5605,elsevier,
Polymer_Testing,1,,5588,elsevier,
Energy_Economics,3,,5586,elsevier,
Structures,3,,5585,elsevier,
Intermetallics,1,,5552,elsevier,
Catalysis_Letters,1,,5437,springer,
International_Journal_of_Refrigeration,1,,5416,elsevier,
Journal_of_Differential_Equations,2,,5385,elsevier,
Computer_Physics_Communications,1,,5356,elsevier,
International_Journal_of_Mass_Spectrometry,1,,5311,elsevier,
Journal_of_Superconductivity_and_Novel_Magnetism,1,,5290,springer,
International_Communications_in_Heat_and_Mass_Transfer,1,,5276,elsevier,
Ionics,1,,5259,springer,
International_Journal_of_Thermal_Sciences,1,,5210,elsevier,
Solid_State_Sciences,1,,5207,elsevier,
Coordination_Chemistry_Reviews,1,,5157,elsevier,
Optics_and_Lasers_in_Engineering,1,,5141,elsevier,
Biomass_Conversion_and_Biorefinery,3,,5138,springer,
Research_on_Chemical_Intermediates,2,,5126,springer,
"Environment,_Development_and_Sustainability",2,,5100,springer,
Engineering_Geology,1,,5092,elsevier,
The_Journal_of_Supercritical_Fluids,1,,5028,elsevier,
Polymer_Bulletin,1,,5023,springer,
Journal_of_Manufacturing_Processes,1,,4984,elsevier,
Applied_Geochemistry,1,,4949,elsevier,
Field_Crops_Research,3,,4944,elsevier,
Journal_of_the_Taiwan_Institute_of_Chemical_Engineers,3,,4944,elsevier,
Sustainable_Cities_and_Society,3,,4912,elsevier,
Journal_of_Analytical_and_Applied_Pyrolysis,1,,4852,elsevier,
The_Journal_of_Steroid_Biochemistry_and_Molecular_Biology,2,,4834,elsevier,
JOM,1,,4802,springer,
Physica_D:_Nonlinear_Phenomena,2,,4799,elsevier,
Toxicology_in_Vitro,2,,4794,elsevier,
Journal_of_Environmental_Radioactivity,1,,4794,elsevier,
Bulletin_of_Environmental_Contamination_and_Toxicology,2,,4756,springer,
Journal_of_Sol-Gel_Science_and_Technology,1,,4742,springer,
Proceedings_of_the_Combustion_Institute,1,,4699,elsevier,
Neurochemistry_International,1,,4636,elsevier,
Journal_of_Polymer_Research,1,,4630,springer,
Experimental_Thermal_and_Fluid_Science,1,,4629,elsevier,
Journal_of_the_Brazilian_Society_of_Mechanical_Sciences_and_Engineering,1,,4542,springer,
AEU_-_International_Journal_of_Electronics_and_Communications,1,,4521,elsevier,
Journal_of_Water_Process_Engineering,2,,4518,elsevier,
Journal_of_Archaeological_Science,2,,4515,elsevier,
International_Journal_of_Theoretical_Physics,2,,4494,springer,
Journal_of_Magnetic_Resonance,1,,4486,elsevier,
European_Food_Research_and_Technology,3,,4449,springer,
Automation_in_Construction,2,,4439,elsevier,
Journal_of_Photochemistry_and_Photobiology_B:_Biology,2,,4436,elsevier,
Journal_of_Natural_Gas_Science_and_Engineering,3,,4428,elsevier,
TrAC_Trends_in_Analytical_Chemistry,1,,4382,elsevier,
Computational_and_Theoretical_Chemistry,2,,4329,elsevier,
Ultrasonics,1,,4307,elsevier,
Journal_of_Fluorine_Chemistry,1,,4294,elsevier,
Spectrochimica_Acta_Part_B:_Atomic_Spectroscopy,1,,4292,elsevier,
Journal_of_Food_Composition_and_Analysis,3,,4287,elsevier,
Journal_of_the_Mechanics_and_Physics_of_Solids,2,,4283,elsevier,
Ultramicroscopy,1,,4281,elsevier,
Hydrometallurgy,1,,4278,elsevier,
Clinical_Biomechanics,2,,4244,elsevier,
Marine_Geology,2,,4236,elsevier,
Chromatographia,1,,4205,springer,
Planetary_and_Space_Science,1,,4202,elsevier,
Cement_and_Concrete_Composites,1,,4177,elsevier,
Dental_Materials,1,,4165,elsevier,
International_Journal_of_Rock_Mechanics_and_Mining_Sciences,2,,4107,elsevier,
Journal_of_South_American_Earth_Sciences,3,,4086,elsevier,
Reactive_and_Functional_Polymers,1,,4039,elsevier,
Advanced_Powder_Technology,1,,3961,elsevier,
Annals_of_Physics,2,,3958,elsevier,
Metallurgical_and_Materials_Transactions_B,1,,3955,springer,
International_Journal_of_Disaster_Risk_Reduction,3,,3894,elsevier,
Journal_of_Inorganic_and_Organometallic_Polymers_and_Materials,1,,3892,springer,
Advanced_Drug_Delivery_Reviews,2,,3869,elsevier,
Colloid_and_Polymer_Science,1,,3838,springer,
Experiments_in_Fluids,2,,3832,springer,
Journal_of_Structural_Geology,2,,3821,elsevier,
International_Journal_of_Refractory_Metals_and_Hard_Materials,1,,3819,elsevier,
Environmental_Toxicology_and_Pharmacology,2,,3794,elsevier,
Journal_of_Electron_Spectroscopy_and_Related_Phenomena,1,,3743,elsevier,
Journal_of_Energy_Chemistry,1,,3715,elsevier,
Journal_of_Loss_Prevention_in_the_Process_Industries,1,,3652,elsevier,
Progress_in_Nuclear_Energy,1,,3649,elsevier,
Chemometrics_and_Intelligent_Laboratory_Systems,1,,3642,elsevier,
International_Journal_of_Multiphase_Flow,1,,3641,elsevier,
Archives_of_Toxicology,2,,3639,springer,
International_Journal_of_Drug_Policy,2,,3613,elsevier,
Rock_Mechanics_and_Rock_Engineering,2,,3612,springer,
Journal_of_Drug_Delivery_Science_and_Technology,2,,3603,elsevier,
International_Journal_of_Impact_Engineering,2,,3571,elsevier,
Journal_of_Environmental_Sciences,2,,3546,elsevier,
Food_Analytical_Methods,3,,3519,springer,
Sedimentary_Geology,2,,3492,elsevier,
Applied_Ergonomics,2,,3485,elsevier,
Heat_and_Mass_Transfer,2,,3481,springer,
Additive_Manufacturing,1,,3468,elsevier,
International_Journal_of_Non-Linear_Mechanics,2,,3439,elsevier,
Mechanics_of_Materials,2,,3418,elsevier,
Molecular_Catalysis,1,,3409,elsevier,
Surfaces_and_Interfaces,1,,3394,elsevier,
Food_Quality_and_Preference,3,,3378,elsevier,
European_Journal_of_Nutrition,3,,3377,springer,
Organic_Geochemistry,2,,3321,elsevier,
Amino_Acids,3,,3314,springer,
Journal_of_Molecular_Graphics_and_Modelling,1,,3279,elsevier,
Sustainable_Energy_Technologies_and_Assessments,1,,3257,elsevier,
Food_and_Bioprocess_Technology,3,,3254,springer,
Structural_Chemistry,1,,3225,springer,
Structural_and_Multidisciplinary_Optimization,2,,3188,springer,
Physica_Medica,2,,3173,elsevier,
Theoretical_and_Applied_Fracture_Mechanics,2,,3163,elsevier,
Food_Bioscience,3,,3147,elsevier,
International_Journal_of_Machine_Tools_and_Manufacture,2,,3130,elsevier,
Plasmonics,1,,3126,springer,
Monatshefte_für_Chemie_-_Chemical_Monthly,3,,3096,springer,
International_Journal_of_Plasticity,1,,3093,elsevier,
Transactions_of_the_Indian_Institute_of_Metals,1,,3080,springer,
Energy_Storage_Materials,1,,3052,elsevier,
Chinese_Journal_of_Chemical_Engineering,1,,3023,elsevier,
Materials_and_Structures,1,,3019,springer,
Science_Bulletin,3,,3011,elsevier,
Journal_of_Structural_Biology,2,,2990,elsevier,
Indian_Journal_of_Physics,2,,2988,springer,
Journal_of_Cereal_Science,3,,2975,elsevier,
International_Journal_of_Coal_Geology,2,,2954,elsevier,
Cryogenics,1,,2950,elsevier,
Journal_of_Non-Newtonian_Fluid_Mechanics,2,,2946,elsevier,
International_Journal_of_Adhesion_and_Adhesives,1,,2945,elsevier,
Bioprocess_and_Biosystems_Engineering,2,,2941,springer,
NeuroToxicology,2,,2932,elsevier,
International_Journal_of_Engineering_Science,2,,2931,elsevier,
International_Journal_of_Pressure_Vessels_and_Piping,2,,2917,elsevier,
International_Journal_of_Heat_and_Fluid_Flow,2,,2915,elsevier,
Journal_of_Molecular_Spectroscopy,1,,2910,elsevier,
Journal_of_Fluids_and_Structures,2,,2893,elsevier,
Journal_of_the_Iranian_Chemical_Society,1,,2891,springer,
Journal_of_Process_Control,1,,2879,elsevier,
Topics_in_Catalysis,1,,2871,springer,
Vibrational_Spectroscopy,1,,2828,elsevier,
Journal_of_Applied_Electrochemistry,1,,2813,springer,
Applied_Nanoscience,1,,2803,springer,
Journal_of_Failure_Analysis_and_Prevention,2,,2787,springer,
Chemistry_of_Heterocyclic_Compounds,1,,2785,springer,
Tribology_Letters,1,,2773,springer,
Nutrition_Research,3,,2771,elsevier,
Advances_in_Engineering_Software,2,,2738,elsevier,
Phytochemistry_Letters,1,,2705,elsevier,
Optical_Fiber_Technology,1,,2693,elsevier,
Ecotoxicology,2,,2689,springer,
Journal_of_Thermal_Spray_Technology,2,,2678,springer,
Clean_Technologies_and_Environmental_Policy,2,,2666,springer,
Microfluidics_and_Nanofluidics,1,,2653,springer,
Medical_Image_Analysis,2,,2643,elsevier,
Case_Studies_in_Construction_Materials,1,,2629,elsevier,
Current_Opinion_in_Immunology,2,,2620,elsevier,
Journal_of_Aerosol_Science,1,,2600,elsevier,
Bioelectrochemistry,2,,2593,elsevier,
Computer-Aided_Design,2,,2585,elsevier,
"Nanomedicine:_Nanotechnology,_Biology_and_Medicine",2,,2580,elsevier,
Journal_of_Low_Temperature_Physics,1,,2571,springer,
Physica_C:_Superconductivity_and_its_Applications,1,,2554,elsevier,
Theoretical_Chemistry_Accounts,1,,2538,springer,
Measurement_Techniques,1,,2535,springer,
Bulletin_of_Materials_Science,1,,2529,springer,
Fire_Safety_Journal,1,,2495,elsevier,
Journal_of_Cultural_Heritage,2,,2478,elsevier,
Parasitology_International,3,,2471,elsevier,
Rare_Metals,1,,2466,springer,
Journal_of_Cluster_Science,1,,2457,springer,
International_Journal_of_Industrial_Ergonomics,2,,2456,elsevier,
"Reaction_Kinetics,_Mechanisms_and_Catalysis",1,,2436,springer,
Marine_Chemistry,2,,2409,elsevier,
Chinese_Journal_of_Catalysis,1,,2406,elsevier,
Russian_Journal_of_Physical_Chemistry_A,1,,2377,springer,
Mechatronics,1,,2375,elsevier,
Current_Opinion_in_Chemical_Biology,2,,2368,elsevier,
Journal_of_Porous_Materials,1,,2357,springer,
Chemistry_and_Physics_of_Lipids,3,,2348,elsevier,
Computers_in_Industry,2,,2347,elsevier,
Journal_of_CO2_Utilization,1,,2323,elsevier,
Chinese_Journal_of_Physics,1,,2290,elsevier,
Pramana,2,,2289,springer,
Solar_Physics,1,,2288,springer,
Journal_of_Electrostatics,1,,2230,elsevier,
Advances_in_Colloid_and_Interface_Science,1,,2215,elsevier,
Journal_of_Electronic_Materials,1,,2211,springer,
Journal_of_Trace_Elements_in_Medicine_and_Biology,2,,2207,elsevier,
Meccanica,1,,2198,springer,
Simulation_Modelling_Practice_and_Theory,2,,2179,elsevier,
Mechanics_Research_Communications,1,,2157,elsevier,
