journal,priority_zaki,priority_anoop,papers,publisher,
Metallurgist,1,,2129,springer,
Chemical_Engineering_and_Processing_-_Process_Intensification,1,,2104,elsevier,
Acta_Geotechnica,1,,2103,springer,
Contributions_to_Mineralogy_and_Petrology,1,,2093,springer,
Atmospheric_Pollution_Research,3,,2089,elsevier,
International_Journal_of_System_Assurance_Engineering_and_Management,3,,2074,springer,
Journal_of_Polymers_and_the_Environment,2,,2040,springer,
Journal_of_Inclusion_Phenomena_and_Macrocyclic_Chemistry,2,,2033,springer,
Biogeochemistry,2,,2030,springer,
Journal_of_Phase_Equilibria_and_Diffusion,1,,2023,springer,
Computational_Biology_and_Chemistry,2,,2022,elsevier,
Molecular_Biotechnology,2,,2014,springer,
Food_Policy,3,,2007,elsevier,
Advanced_Engineering_Informatics,2,,2005,elsevier,
Thermal_Science_and_Engineering_Progress,1,,1999,elsevier,
Experimental_Mechanics,2,,1987,springer,
Astroparticle_Physics,2,,1981,elsevier,
Nuclear_Physics_A,1,,1972,elsevier,
Journal_of_Chemical_Crystallography,1,,1959,springer,
Applied_Numerical_Mathematics,2,,1955,elsevier,
International_Journal_of_Thermophysics,1,,1928,springer,
Chemical_and_Petroleum_Engineering,1,,1911,springer,
Applied_Materials_Today,1,,1906,elsevier,
Journal_of_Chemical_Sciences,1,,1901,springer,
Nitric_Oxide,1,,1885,elsevier,
Journal_of_Material_Cycles_and_Waste_Management,2,,1844,springer,
Journal_of_Coatings_Technology_and_Research,1,,1841,springer,
Sādhanā,2,,1839,springer,
Materialia,1,,1831,elsevier,
Particuology,1,,1809,elsevier,
Biology_and_Fertility_of_Soils,2,,1794,springer,
Materials_Today,1,,1788,elsevier,
Materials_Today_Chemistry,1,,1773,elsevier,
Calphad,1,,1773,elsevier,
Neurotoxicology_and_Teratology,2,,1754,elsevier,
General_Relativity_and_Gravitation,2,,1734,springer,
Journal_of_Computational_Science,2,,1692,elsevier,
Finite_Elements_in_Analysis_and_Design,2,,1691,elsevier,
Bulletin_of_Volcanology,2,,1687,springer,
Chemical_Papers,1,,1682,springer,
Urban_Climate,2,,1678,elsevier,
Environmental_Chemistry_Letters,2,,1676,springer,
Food_and_Bioproducts_Processing,3,,1666,elsevier,
Physical_Communication,2,,1643,elsevier,
Biomedical_Microdevices,2,,1626,springer,
Journal_of_Pharmacological_and_Toxicological_Methods,2,,1623,elsevier,
Welding_in_the_World,1,,1617,springer,
European_Journal_of_Wood_and_Wood_Products,2,,1607,springer,
Acta_Metallurgica_Sinica_(English_Letters),1,,1604,springer,
Journal_of_Chemical_Neuroanatomy,2,,1603,elsevier,
Computational_Mechanics,2,,1590,springer,
Accreditation_and_Quality_Assurance,3,,1565,springer,
Journal_of_Manufacturing_Systems,1,,1561,elsevier,
Transition_Metal_Chemistry,1,,1559,springer,
Cytotechnology,2,,1555,springer,
Metal_Science_and_Heat_Treatment,1,,1548,springer,
Journal_of_Solution_Chemistry,1,,1545,springer,
Metals_and_Materials_International,1,,1542,springer,
Composites_Communications,1,,1539,elsevier,
Physics_Reports,1,,1536,elsevier,
Wood_Science_and_Technology,2,,1522,springer,
Archive_of_Applied_Mechanics,2,,1518,springer,
BioMetals,2,,1508,springer,
Journal_of_Molecular_Evolution,1,,1505,springer,
Fire_Technology,2,,1496,springer,
Nano_Today,1,,1485,elsevier,
Sustainable_Production_and_Consumption,2,,1484,elsevier,
European_Journal_of_Soil_Biology,2,,1479,elsevier,
Russian_Journal_of_General_Chemistry,1,,1479,springer,
Journal_of_Computer-Aided_Molecular_Design,1,,1478,springer,
Journal_of_Rare_Earths,1,,1471,elsevier,
Drug_Delivery_and_Translational_Research,2,,1464,springer,
Refractories_and_Industrial_Ceramics,1,,1463,springer,
Chemistry_and_Technology_of_Fuels_and_Oils,2,,1433,springer,
Rheologica_Acta,1,,1432,springer,
Journal_of_Mathematical_Chemistry,2,,1414,springer,
Sustainability_Science,2,,1405,springer,
Journal_of_Optics,1,,1403,springer,
Geotextiles_and_Geomembranes,1,,1399,elsevier,
Materials_Science,1,,1394,springer,
Materials_Today_Energy,1,,1391,elsevier,
Journal_of_the_Energy_Institute,1,,1391,elsevier,
Food_Science_and_Biotechnology,3,,1389,springer,
Plasma_Chemistry_and_Plasma_Processing,2,,1380,springer,
Brazilian_Journal_of_Physics,1,,1373,springer,
Acta_Mechanica,1,,1371,springer,
Metal_Powder_Report,1,,1369,elsevier,
Journal_of_Fusion_Energy,1,,1367,springer,
Biomechanics_and_Modeling_in_Mechanobiology,2,,1349,springer,
Nuclear_Science_and_Techniques,1,,1342,springer,
"Iranian_Journal_of_Science_and_Technology,_Transactions_A:_Science",1,,1339,springer,
Journal_of_Electroceramics,1,,1329,springer,
National_Academy_Science_Letters,1,,1323,springer,
Russian_Metallurgy_(Metally),1,,1323,springer,
Energy_for_Sustainable_Development,3,,1314,elsevier,
Journal_of_Biomolecular_NMR,2,,1306,springer,
Strength_of_Materials,2,,1303,springer,
Physics_and_Chemistry_of_Minerals,1,,1277,springer,
"Iranian_Journal_of_Science_and_Technology,_Transactions_of_Civil_Engineering",2,,1272,springer,
Current_Opinion_in_Environmental_Sustainability,3,,1264,elsevier,
The_Extractive_Industries_and_Society,3,,1261,elsevier,
Extreme_Mechanics_Letters,2,,1260,elsevier,
Current_Opinion_in_Electrochemistry,1,,1258,elsevier,
Fibre_Chemistry,3,,1253,springer,
Probabilistic_Engineering_Mechanics,2,,1242,elsevier,
Iranian_Polymer_Journal,2,,1242,springer,
BioNanoScience,2,,1240,springer,
Glass_and_Ceramics,1,,1239,springer,
World_Patent_Information,2,,1230,elsevier,
Reinforced_Plastics,1,,1221,elsevier,
Physics_of_the_Solid_State,1,,1219,springer,
Current_Opinion_in_Virology,3,,1218,elsevier,
Mineralium_Deposita,2,,1214,springer,
Food_Packaging_and_Shelf_Life,3,,1199,elsevier,
International_Journal_of_Metalcasting,1,,1193,springer,
Probiotics_and_Antimicrobial_Proteins,2,,1187,springer,
Finite_Fields_and_Their_Applications,2,,1174,elsevier,
Sustainable_Chemistry_and_Pharmacy,1,,1174,elsevier,
Semiconductors,1,,1168,springer,
Progress_in_Polymer_Science,1,,1163,elsevier,
Biomolecular_NMR_Assignments,2,,1156,springer,
Energy_Efficiency,1,,1152,springer,
Applied_Composite_Materials,1,,1148,springer,
Russian_Journal_of_Inorganic_Chemistry,1,,1140,springer,
Oxidation_of_Metals,1,,1120,springer,
Plant_Foods_for_Human_Nutrition,3,,1120,springer,
Foundations_of_Physics,2,,1112,springer,
Powder_Metallurgy_and_Metal_Ceramics,1,,1091,springer,
Renewable_Energy_Focus,3,,1087,elsevier,
Materials_Today_Physics,1,,1087,elsevier,
Journal_of_Electronic_Testing,1,,1086,springer,
Precision_Agriculture,3,,1079,springer,
Chemical_Data_Collections,2,,1075,elsevier,
Journal_of_the_Indian_Chemical_Society,1,,1071,elsevier,
Solid_State_Nuclear_Magnetic_Resonance,1,,1061,elsevier,
Remote_Sensing_Applications:_Society_and_Environment,2,,1061,elsevier,
Radiation_and_Environmental_Biophysics,2,,1040,springer,
Energy_Strategy_Reviews,1,,1037,elsevier,
Adsorption,1,,1035,springer,
Physics_of_the_Dark_Universe,1,,1035,elsevier,
Russian_Journal_of_Organic_Chemistry,1,,1028,springer,
Journal_of_Analytical_Chemistry,1,,1025,springer,
The_Journal_of_Membrane_Biology,2,,1020,springer,
"Metallography,_Microstructure,_and_Analysis",1,,1019,springer,
Zeitschrift_für_angewandte_Mathematik_und_Physik,1,,1014,springer,
Technical_Physics,1,,1010,springer,
Photonics_and_Nanostructures_-_Fundamentals_and_Applications,1,,1006,elsevier,
Inorganic_Materials,1,,997,springer,
Technical_Physics_Letters,1,,996,springer,
Journal_of_The_Institution_of_Engineers_(India):_Series_C,1,,993,springer,
Granular_Matter,1,,984,springer,
Journal_of_Experimental_and_Theoretical_Physics,1,,980,springer,
Current_Opinion_in_Food_Science,3,,971,elsevier,
Sustainable_Water_Resources_Management,2,,970,springer,
Journal_of_the_Australian_Ceramic_Society,1,,966,springer,
"Journal_of_Surface_Investigation:_X-ray,_Synchrotron_and_Neutron_Techniques",1,,961,springer,
Journal_of_Medical_Toxicology,2,,960,springer,
Inorganic_Materials:_Applied_Research,1,,960,springer,
Mechanics_of_Composite_Materials,1,,959,springer,
"Sustainable_Energy,_Grids_and_Networks",2,,938,elsevier,
Progress_in_Particle_and_Nuclear_Physics,1,,935,elsevier,
Optics_and_Spectroscopy,1,,932,springer,
Journal_of_The_Institution_of_Engineers_(India):_Series_B,1,,926,springer,
Artificial_Intelligence,2,,925,elsevier,
Mine_Water_and_the_Environment,1,,923,springer,
Crystallography_Reports,1,,919,springer,
Physics_of_Atomic_Nuclei,1,,914,springer,
International_Journal_of_Fracture,1,,911,springer,
International_Journal_of_Material_Forming,1,,908,springer,
International_Journal_of_Civil_Engineering,1,,901,springer,
International_Journal_of_Precision_Engineering_and_Manufacturing,1,,896,springer,
Geoheritage,1,,891,springer,
International_Journal_of_Mining_Science_and_Technology,1,,886,elsevier,
Journal_of_Nondestructive_Evaluation,1,,878,springer,
Carbonates_and_Evaporites,1,,873,springer,
Current_Opinion_in_Chemical_Engineering,1,,872,elsevier,
Phytochemistry_Reviews,1,,871,springer,
Russian_Journal_of_Physical_Chemistry_B,1,,851,springer,
Electrocatalysis,1,,851,springer,
High_Energy_Density_Physics,1,,847,elsevier,
Resource_and_Energy_Economics,1,,839,elsevier,
"Proceedings_of_the_National_Academy_of_Sciences,_India_Section_A:_Physical_Sciences",1,,837,springer,
Progress_in_Materials_Science,1,,828,elsevier,
Mineralogy_and_Petrology,1,,826,springer,
Current_Opinion_in_Solid_State_and_Materials_Science,1,,825,elsevier,
Geochemistry,1,,820,elsevier,
Indian_Geotechnical_Journal,1,,812,springer,
Food_Biophysics,3,,810,springer,
Protection_of_Metals_and_Physical_Chemistry_of_Surfaces,1,,808,springer,
Journal_of_Bio-_and_Tribo-Corrosion,2,,800,springer,
Petroleum_Chemistry,1,,799,springer,
Journal_of_Pharmaceutical_Innovation,2,,784,springer,
International_Journal_of_Steel_Structures,2,,782,springer,
Current_Opinion_in_Green_and_Sustainable_Chemistry,2,,780,elsevier,
Steel_in_Translation,2,,779,springer,
International_Journal_of_Gastronomy_and_Food_Science,3,,775,elsevier,
Manufacturing_Letters,1,,775,elsevier,
"Flow,_Turbulence_and_Combustion",1,,774,springer,
Advances_in_Applied_Mathematics,2,,769,elsevier,
Sustainable_Materials_and_Technologies,1,,765,elsevier,
Journal_of_Sustainable_Metallurgy,1,,764,springer,
Aerobiologia,2,,761,springer,
Journal_of_The_Institution_of_Engineers_(India):_Series_A,1,,757,springer,
NeuroMolecular_Medicine,2,,757,springer,
Instruments_and_Experimental_Techniques,1,,745,springer,
Sustainable_Computing:_Informatics_and_Systems,2,,740,elsevier,
Shock_Waves,2,,737,springer,
Annals_of_Pure_and_Applied_Logic,1,,734,elsevier,
Microgravity_Science_and_Technology,1,,734,springer,
Acta_Mechanica_Sinica,1,,727,springer,
Russian_Journal_of_Bioorganic_Chemistry,2,,715,springer,
"Iranian_Journal_of_Science_and_Technology,_Transactions_of_Mechanical_Engineering",1,,712,springer,
Journal_of_Structural_Chemistry,1,,690,springer,
Colloid_and_Interface_Science_Communications,1,,686,elsevier,
Applied_and_Computational_Harmonic_Analysis,1,,684,elsevier,
Computational_Particle_Mechanics,2,,683,springer,
Physics_of_Metals_and_Metallography,1,,682,springer,
Geomechanics_and_Geophysics_for_Geo-Energy_and_Geo-Resources,1,,679,springer,
Theoretical_Foundations_of_Chemical_Engineering,1,,679,springer,
Biophysics,2,,676,springer,
International_Journal_of_Mechanics_and_Materials_in_Design,1,,675,springer,
Journal_of_Elasticity,1,,672,springer,
Multibody_System_Dynamics,1,,670,springer,
Theoretical_and_Experimental_Chemistry,1,,670,springer,
IST_International_Surface_Technology,1,,667,springer,
Computational_Condensed_Matter,1,,665,elsevier,
Plasma_Physics_Reports,1,,662,springer,
Environmental_Processes,2,,654,springer,
"Iranian_Journal_of_Science_and_Technology,_Transactions_of_Electrical_Engineering",2,,648,springer,
Journal_of_Pharmaceutical_Investigation,2,,641,springer,
Computer_Aided_Geometric_Design,2,,620,elsevier,
Optical_Switching_and_Networking,2,,613,elsevier,
Russian_Journal_of_Applied_Chemistry,1,,609,springer,
Drug_Discovery_Today:_Technologies,2,,600,elsevier,
Materials_Today_Sustainability,1,,595,elsevier,
Energy_Systems,1,,595,springer,
Journal_of_The_Institution_of_Engineers_(India):_Series_D,1,,592,springer,
Mechanics_of_Solids,1,,581,springer,
Geochemistry_International,1,,569,springer,
Experimental_Techniques,1,,560,springer,
Journal_of_Biological_Physics,2,,558,springer,
Progress_in_Energy_and_Combustion_Science,2,,557,elsevier,
Russian_Journal_of_Electrochemistry,1,,548,springer,
Russian_Journal_of_Coordination_Chemistry,1,,545,springer,
Astronomy_and_Computing,2,,542,elsevier,
Progress_in_Additive_Manufacturing,1,,540,springer,
Parasitology_Today,2,,534,elsevier,
Thermal_Engineering,2,,531,springer,
Drug_Resistance_Updates,2,,524,elsevier,
High_Temperature,1,,522,springer,
Chemical_Engineering_and_Processing:_Process_Intensification,1,,512,elsevier,
Biochemistry_(Moscow),2,,508,springer,
International_Journal_of_Geosynthetics_and_Ground_Engineering,2,,503,springer,
Journal_of_Machinery_Manufacture_and_Reliability,2,,495,springer,
Atomic_Data_and_Nuclear_Data_Tables,1,,489,elsevier,
Drug_Metabolism_and_Pharmacokinetics,2,,488,elsevier,
Glass_Physics_and_Chemistry,1,,486,springer,
Mechanics_of_Time-Dependent_Materials,1,,485,springer,
Russian_Journal_of_Nondestructive_Testing,1,,481,springer,
Moscow_University_Physics_Bulletin,1,,475,springer,
Coke_and_Chemistry,1,,475,springer,
High_Energy_Chemistry,1,,474,springer,
Forensic_Chemistry,2,,469,elsevier,
NanoImpact,1,,468,elsevier,
Shape_Memory_and_Superelasticity,1,,466,springer,
Electronic_Materials_Letters,1,,465,springer,
FlatChem,1,,457,elsevier,
Advances_in_Manufacturing,1,,453,springer,
Progress_in_Nuclear_Magnetic_Resonance_Spectroscopy,1,,451,elsevier,
Journal_of_Applied_Mechanics_and_Technical_Physics,1,,446,springer,
Colloid_Journal,1,,443,springer,
Topics_in_Current_Chemistry,1,,440,springer,
The_Nucleus,1,,438,springer,
Sports_Engineering,3,,438,springer,
Acta_Mechanica_Solida_Sinica,1,,434,springer,
Journal_of_Bioenergetics_and_Biomembranes,2,,427,springer,
Kinetics_and_Catalysis,1,,427,springer,
Radiation_Detection_Technology_and_Methods,1,,425,springer,
Materials_Today_Nano,1,,425,elsevier,
Acoustical_Physics,2,,425,springer,
Theoretical_and_Mathematical_Physics,2,,423,springer,
Acta_Geodaetica_et_Geophysica,2,,422,springer,
Optik_-_International_Journal_for_Light_and_Electron_Optics,1,,415,elsevier,
Granular_Computing,1,,411,springer,
Aquatic_Geochemistry,2,,410,springer,
Journal_of_Friction_and_Wear,1,,406,springer,
Catalysis_Surveys_from_Asia,1,,405,springer,
Journal_of_Mathematical_Fluid_Mechanics,2,,402,springer,
Fibers_and_Polymers,1,,402,springer,
Journal_of_Atmospheric_Chemistry,2,,401,springer,
Journal_of_Dynamic_Behavior_of_Materials,1,,400,springer,
Russian_Journal_of_Non-Ferrous_Metals,1,,399,springer,
Journal_of_the_Indian_Institute_of_Science,1,,396,springer,
Fluid_Dynamics,1,,390,springer,
Filtration_+_Separation,1,,388,elsevier,
Journal_of_Space_Safety_Engineering,1,,385,elsevier,
Materials_Science_and_Engineering:_R:_Reports,1,,385,elsevier,
Surface_Engineering_and_Applied_Electrochemistry,1,,381,springer,
International_Journal_of_Critical_Infrastructure_Protection,1,,380,elsevier,
Education_for_Chemical_Engineers,1,,376,elsevier,
Current_Opinion_in_Toxicology,2,,374,elsevier,
Journal_of_Photochemistry_and_Photobiology_C:_Photochemistry_Reviews,2,,370,elsevier,
Geomechanics_for_Energy_and_the_Environment,2,,370,elsevier,
Applied_Solar_Energy,1,,367,springer,
Journal_of_Mining_Science,1,,362,springer,
Food_Engineering_Reviews,3,,360,springer,
Process_Integration_and_Optimization_for_Sustainability,2,,360,springer,
Forensic_Science_International:_Digital_Investigation,2,,352,elsevier,
Transactions_of_the_Indian_National_Academy_of_Engineering,2,,352,springer,
International_Journal_of_Inorganic_Materials,1,,348,elsevier,
International_Journal_of_Advances_in_Engineering_Sciences_and_Applied_Mathematics,2,,347,springer,
Radiochemistry,1,,336,springer,
Progress_in_Surface_Science,1,,336,elsevier,
Solid_Fuel_Chemistry,1,,334,springer,
Biomedical_Engineering_Letters,2,,330,springer,
Nanotechnology_for_Environmental_Engineering,2,,328,springer,
Gold_Bulletin,1,,324,springer,
"Combustion,_Explosion,_and_Shock_Waves",1,,322,springer,
Regenerative_Engineering_and_Translational_Medicine,2,,318,springer,
Nano_Communication_Networks,1,,316,elsevier,
Refocus,2,,314,elsevier,
Bioprinting,2,,310,elsevier,
Journal_of_Ocean_Engineering_and_Marine_Energy,1,,305,springer,
Food_Structure,3,,304,elsevier,
Chemosensory_Perception,1,,303,springer,
The_Science_of_The_Total_Environment,1,,301,elsevier,
Integrating_Materials_and_Manufacturing_Innovation,1,,299,springer,
"Energy,_Ecology_and_Environment",1,,299,springer,
Current_Pollution_Reports,3,,281,springer,
Acoustics_Australia,2,,281,springer,
Journal_of_The_Institution_of_Engineers_(India):_Series_E,1,,274,springer,
Advances_in_Environmental_Research,2,,274,elsevier,
Computational_Toxicology,2,,271,elsevier,
Journal_of_Water_Chemistry_and_Technology,2,,262,springer,
"Optoelectronics,_Instrumentation_and_Data_Processing",2,,259,springer,
Progress_in_Solid_State_Chemistry,1,,251,elsevier,
Geology_of_Ore_Deposits,1,,250,springer,
Moscow_University_Chemistry_Bulletin,1,,249,springer,
Physical_Mesomechanics,1,,241,springer,
Doklady_Chemistry,1,,240,springer,
Surface_Science_Reports,1,,234,elsevier,
Lasers_in_Manufacturing_and_Materials_Processing,1,,231,springer,
Emission_Control_Science_and_Technology,1,,228,springer,
Chinese_Journal_of_Analytical_Chemistry,1,,228,elsevier,
Water_Conservation_Science_and_Engineering,2,,225,springer,
Comptes_Rendus_de_l'Académie_des_Sciences_-_Series_IIC_-_Chemistry,1,,218,elsevier,non-eng
Progress_in_Quantum_Electronics,1,,218,elsevier,
Journal_of_Engineering_Thermophysics,1,,217,springer,
Trends_in_Environmental_Analytical_Chemistry,1,,214,elsevier,
Biotribology,2,,214,elsevier,
BioChip_Journal,2,,211,springer,
Forensic_Imaging,2,,208,elsevier,
Nanotechnologies_in_Russia,1,,207,springer,
Catalysis_in_Industry,1,,207,springer,
Aerosol_Science_and_Engineering,1,,203,springer,
International_Journal_of_Self-Propagating_High-Temperature_Synthesis,1,,200,springer,
"Biochemistry_(Moscow),_Supplement_Series_A:_Membrane_and_Cell_Biology",2,,199,springer,
Journal_of_Superhard_Materials,1,,191,springer,
Petrology,1,,187,springer,
Physics_of_Wave_Phenomena,1,,187,springer,
Lithology_and_Mineral_Resources,1,,184,springer,
Theoretical_and_Computational_Fluid_Dynamics,2,,184,springer,
Journal_of_Contemporary_Physics_(Armenian_Academy_of_Sciences),1,,182,springer,
ChemTexts,1,,180,springer,
Progress_in_Crystal_Growth_and_Characterization_of_Materials,1,,180,elsevier,
Toxicology_and_Environmental_Health_Sciences,2,,170,springer,
Radioelectronics_and_Communications_Systems,1,,170,springer,
Sadhana,1,,167,springer,
"Biochemistry_(Moscow),_Supplement_Series_B:_Biomedical_Chemistry",2,,165,springer,
Nanostructured_Materials,1,,165,elsevier,
Kinematics_and_Physics_of_Celestial_Bodies,1,,156,springer,
Technology_and_Economics_of_Smart_Grids_and_Sustainable_Energy,1,,155,springer,
Mining_Science_and_Technology_(China),1,,155,elsevier,
Computational_and_Theoretical_Polymer_Science,2,,155,elsevier,
Journal_of_the_Chinese_Institute_of_Chemical_Engineers,1,,149,elsevier,
Current_Molecular_Biology_Reports,2,,148,springer,
Journal_of_Remanufacturing,1,,147,springer,
Doklady_Physical_Chemistry,1,,146,springer,
Reviews_of_Modern_Plasma_Physics,1,,134,springer,
Macromolecular_Research,1,,118,springer,
adhesion_ADHESIVES_+_SEALANTS,1,,116,springer,
Energy_and_Climate_Change,3,,114,elsevier,
Construction_Robotics,1,,113,springer,
Journal_of_Mass_Spectrometry_and_Advances_in_the_Clinical_Lab,1,,107,elsevier,
Artificial_Intelligence_in_Engineering,1,,104,elsevier,
EnergyChem,1,,102,elsevier,
Simulation_Practice_and_Theory,1,,100,elsevier,
Nuclear_and_Particle_Physics_Proceedings,1,,97,elsevier,
Upstream_Oil_and_Gas_Technology,1,,91,elsevier,
Fuel_Cells_Bulletin,1,,90,elsevier,
Drug_Discovery_Today:_TARGETS,2,,70,elsevier,
Focus_on_Catalysts,1,,66,elsevier,
Korea-Australia_Rheology_Journal,1,,64,springer,
Focus_on_Pigments,2,,64,elsevier,
China_Particuology,1,,60,elsevier,
Human_Factors_and_Mechanical_Engineering_for_Defense_and_Safety,2,,59,springer,
Drug_Discovery_Today:_BIOSILICO,2,,43,elsevier,
Mendeleev_Communications,1,,42,elsevier,
Journal_of_Membrane_Biology,2,,41,springer,